,Company,Job_title,Term,Start_time,Duration,Location,Job_description,Job_responsibilities,Required_qualifications,Salary_Renumeration,Opening_date,Application_deadline,Number_of_job_posting_retrivals,Job_link,Industry
10,Rushc LLC,Senior Timing Engine and Backend Engineer,Full time,ASAP,Long term,"Yerevan, Armenia",Rushc LLC is seeking a candidate for the position of Senior Timing Engine and Backend Engineer.,,"Strong experience in EDA SW especially in synthesis, timing analysis and verification; Good knowledge of RTL design flows (design compiler, SDC and backend P&amp;R); Good knowledge of English language; Preferably 5 years of work experience at a major EDA company.","Highly competitive, plus health insurance package",2018-09-18,2018-10-17,184,https://www.careercenter.am/ccdspann.php?id=32780,Information Technology
11,Rushc LLC,Software Validation and Quality Engineer,Full time,ASAP,Long term,"Yerevan, Armenia",Rushc LLC is seeking a candidate for the position of Software Validation and Quality Engineer.,,"Knowledge of ISO26262 process certification for automobile applications; Ability to define performance metrics to deliver SW of best possible quality (total overall timing, memory footprint and power performance ratio); Very good scripting skills (Python, TCL TK and Perl); Preferably 5 years of work experience at a major EDA company.","Highly competitive, plus health insurance package",2018-09-18,2018-10-17,182,https://www.careercenter.am/ccdspann.php?id=32781,Quality Assurance & Control
12,Rushc LLC,C++/ Qt Engineer,Full time,ASAP,Long term,"Yerevan, Armenia",Rushc LLC is seeking a candidate for the position of C++/ Qt Engineer.,,At least 5 years of experience in developing graphical applications with C++/ Qt; Knowledge of EDA algorithms (graph theory and optimization); Good knowledge of English language.,"Highly competitive, plus health insurance package",2018-09-18,2018-10-17,183,https://www.careercenter.am/ccdspann.php?id=32778,Information Technology
13,Spayka LLC,Transportation Manager,,,,"Yerevan, Armenia",Spayka LLC is looking for a Transportation Manager to deal with EU and CIS development in the Transportation Department.,Take cargo transportation orders from clients; Arrange implementation of cargo transportation; Provide clients with full information about cargo transportation process; Work with foreign partners and transport companies in Europe; Carry on negotiations with the Company's potential partners; Perform other job related duties as assigned.,"Higher education in Management or Marketing; At least 2 years of experience in freight forwarding and transportation with European companies and transport companies; Knowledge of management and business negotiation; Excellent knowledge of Armenian, Russian and English languages; knowledge of other foreign languages is a plus; High sense of responsibility and punctuality; Ability to work under pressure; ability to analyze and prepare reports; Excellent organizational and decision making skills; Team working and time management skills; High efficiency of work; Excellent computer skills: MS Office, Internet Explorer and E mail.",Competitive,2018-09-18,2018-10-17,250,https://www.careercenter.am/ccdspann.php?id=32798,Management
14,Digitain LLC,Customer Care Director,Full time,ASAP,Permanent,"Yerevan, Armenia","Digitain is looking for an experienced Customer Care Director who will be responsible for the daily management of Customer Care Directorate, providing leadership and direction to the managers and their teams to ensure that an excellent standard of services is provided and objectives are fulfilled.","Ensure efficient and effective daily operation, improve operational performance of the following teams: a) Service Desk; b) Contact Center; c) Training and Quality Control; d) Change Management; Increase customer satisfaction, loyalty and retention by meeting their expectations; Assure 24/7 availability of Contact Center for customers' and partners' inquiries, issues and claims; Ensure high quality of services provided to both internal and external customers; Responsible for effective processes design and implementation; Responsible for setting KPIs for the teams and follow up their accomplishment, initiate corrective and improvement actions; Prepare and elaborate management dashboards; Efficiently collaborate with the Company's other departments and executives; Conduct performance appraisals with employees; address employee performance and corrective action plans, employee motivation and rewards; Responsible for improving performance, productivity and efficiency through the implementation of effective methods and strategies; Prepare annual financial and headcount budget for the Customer Care Directorate; Analyze process workflow and facilitate continuous process improvements; Hold monthly/ weekly meetings with employees; Report Directorate's activity and performance results to Deputy CEO according to the targeted objectives.","Bachelor's degree in Management or IT; MBA is preferred; At least 3 years of experience in call center, service desk management or other customer service management related field; At least 5 years of leadership experience in people and operations management; Any experience or background in IT sector will be considered as an advantage; Good knowledge of ITIL standard; Strong analytical skills; Excellent communication and persuasion abilities; Proficiency in operations and people management; Ability to plan, prioritize and handle effectively and independently multiple projects and tasks; Ability to make decisions and solve problems while working under pressure; Fluency in Armenian, English and Russian languages.",Competitive,2018-09-18,2018-10-17,322,https://www.careercenter.am/ccdspann.php?id=32801,Other
15,Digitain LLC,Software Development Manager,Full time,ASAP,Permanent,"Yerevan, Armenia","Digitain is looking for an experienced Software Development Manager who will report to the Company's CTO, oversee the operations of the Technical Directorate and be responsible for effective and successful people management.","Oversee daily activities and lead agile product development teams, manage collective and individual performances and act as a mentor for team members; Participate in planning, implementation and delivery of product releases and get involved in product backlog and sprint planning; Collaborate with the Company's business stakeholders and executives for defining products' vision and roadmap; Responsible for planning, assigning and directing work; authoring and discussing performance appraisals with employees; addressing employee performance and corrective action plans; employee motivation and rewards; Responsible for improving performance, productivity, efficiency and profitability through the implementation of effective methods and strategies; Plan and review compensation actions; enforce policies and procedures; Follow up employees attendances and ethical attitude in workplace; Contribute operational information and recommendations to strategic plans and reviews; prepare and complete action plans; implement production, productivity, quality and customer service standards; resolve problems; complete audits; identify trends; Forecast requirements; prepare an annual financial and headcount budget; schedule expenditures; analyze variances initiating corrective actions; Analyze process workflow and facilitate continuous process improvements; Analyze employee and space requirements and equipment layout; implement changes according to identified needs; Responsible for the whole development team and be in charge for reviewing/ approving all their operations.","Bachelor's degree in Management or Engineering; MBA is preferred; At least 5 years of leadership experience in people and operations management; Knowledge of and experience in software development; Experience in software and business operations, including ability to understand the high level technical issues of the organization; Knowledge of and experience in Agile software development framework; Fluency in English and Russian languages; Strong analytical skills; Thorough understanding of software development processes and cycles; Excellent communication and persuasion abilities; Proficiency in operations and people management; Ability to plan, prioritize and organize effectively and independently multiple projects and task; Ability to make decisions and solve problems while working under pressure.",Competitive,2018-09-18,2018-10-17,193,https://www.careercenter.am/ccdspann.php?id=32785,Information Technology
16,Ucom LLC,UI/ UX Designer,,Immediately,"Permanent, with 3 months of probation period","Yerevan, Armenia",Ucom LLC is looking for a skilled and motivated UI/ UX Designer who can take the lead on individual digital projects and bring prototypes to life.,"Create eye catching, user friendly production level interfaces in short sprint cycles; Adapt functional and engaging user interfaces to UX prototypes; Redesign and/ or rebrand existing partner APP and Web materials to fit the Company's brand digital visualization; Execute all visual design stages from concept to final hand off; Provide recommendations and advice based on industry best practices and studies; Work with product owners and development team to ensure the best and most efficient results.","At least 2 years of experience in UI/ UX design; Portfolio of UI/ UX skills and successfully launched websites, mobile and software applications; Expert knowledge of Adobe Photoshop, Adobe Illustrator and Zeplin; Knowledge of Adobe XD, InVision and CorelDraw is a great plus; Enthusiasm about constantly learning and understanding current UI/ UX trends and technologies; Ability to work in a team, gain and share experience; Ability to work within company guidelines in collaboration with Ucom's Chief Designer and UI/ UX designers to get the brand identity and product design just right; Keen eye for detail; Excellent communication skills in English and Armenian languages.",,2018-09-18,2018-10-08,187,https://www.careercenter.am/ccdspann.php?id=32796,Information Technology
17,Grand Candy LLC,Shift Supervisor,,,,"Yerevan, Armenia",The Company is looking for individuals with corresponding knowledge and work experience for the position of Shift Supervisor.,"Organize the operation of workshop, organize production activity at the level of shift, production preparation, insurance of optimal job distribution among workers and brigades; Control the implementation of assignments; Discover and eliminate the violations of working functions; Control technological processes; Participate in the analysis of the workshop working outcomes; Ensure the supply of necessary raw and auxiliary materials is on time; Ensure rhythmic and regular work of the laborers; Control the sanitary hygienic conditions at workshop work sites; Check the presence of the required quantity of raw and auxiliary materials at the production sites; Record, register and bear responsibility for the finished products, raw and auxiliary materials; Responsible for the primary testing of the good condition of production lines, equipment, prior to the shift change; Control the workers to keep the equipment safety, sanitation and fire prevention, industrial, personal hygiene rules; Participate in the inventory works; Register in the corresponding book the daily consumption of raw materials and substances; Organize the cleaning and polishing process and the exploitation of all the equipment which are placed on or belong to the floor; Control economical usage of energy resources; Control maintenance of working discipline; Introduce to the employees the commands issued by the administration; Keep healthy relations favorable at the workplace; Participate in meetings and consultations; Fulfill other service assignments assigned by the superior.","Higher education; Work experience in food industry; Strong leadership skills and ability to work in a team; Ability to deliver accurate work within strict deadlines; Well developed planning, organization, and problem solving skills; Excellent decision making skills; Strong attention to details; Ability to work under pressure.",,2018-09-18,2018-09-28,323,https://www.careercenter.am/ccdspann.php?id=32786,Admin & Clerical
18,Grand Candy LLC,Production Supervisor,,,,"Yerevan, Armenia",The Company is looking for individuals with corresponding knowledge and work experience for the position of Production Supervisor.,"Organize the operation of workshop, organize production activity at the level of shift, production preparation, insurance of optimal job distribution among workers and brigades; Control the implementation of assignments; Discover and eliminate the violations of working functions; Control technological processes; Participate in the analysis of the workshop working outcomes; Ensure the supply of necessary raw and auxiliary materials is on time; Ensure rhythmic and regular work of the laborers; Control the sanitary hygienic conditions at workshop work sites; Check the presence of the required quantity of raw and auxiliary materials at the production sites; Record, register and bear responsibility for the finished products, raw and auxiliary materials; Responsible for the primary testing of the good condition of production lines, equipment, prior to the shift change; Control the workers to keep the equipment safety, sanitation and fire prevention, industrial, personal hygiene rules; Participate in the inventory works; Register in the corresponding book the daily consumption of raw materials and substances; Organize the cleaning and polishing process and the exploitation of all the equipment which are placed on or belong to the floor; Control economical usage of energy resources; Control maintenance of working discipline; Introduce to the employees the commands issued by the administration; Keep healthy relations favorable at the workplace; Participate in meetings and consultations; Fulfill other service assignments assigned by the superior.","Higher education; Work experience in food industry; Strong leadership skills and ability to work in a team; Ability to deliver accurate work within strict deadlines; Well developed planning, organization, and problem solving skills; Excellent decision making skills; Strong attention to details; Ability to work under pressure.",,2018-09-18,2018-09-28,264,https://www.careercenter.am/ccdspann.php?id=32787,Admin & Clerical
19,Expatland,Administrative and Finance Assistant,,,Long term,"Yerevan, Armenia",Expatland is looking for an Administrative and Finance Assistant to join its team.,"Provide the necessary remote administrative and secretarial support to the teams across all locations; Support in organizing meetings and conference calls, make respective arrangements; Prepare notes, minutes, and agendas for meetings, presentations, and conference calls; Maintain files, manuals, and other records, ensure corresponding/ electronic communication; Send and receive faxes, mail and e mail, register and distribute all incoming/ outgoing mail as appropriate; Draft correspondence, do filing and data entry; Translate written and recorded materials from English language into Armenian/ Russian languages and vice versa; Coordinate travel arrangements including, but not limited to, airfare, hotel, and car; Set appointments and provide materials and reports needed for trips; Prepare expense reports, invoices, and other required forms: assure completeness, accuracy, attachments, and signatures; Log and track expenses as required; Assist in preparation of other accounting related documents; Assist in preparation of periodic and special reports, as per requests; Prepare and maintain administrative journals (e.g. telephone/ address directory) and other recordings, if needed; Draft invoices for approval by supervisor; Maintain correspondence with clients as directed by supervisor; Perform other job related duties as may be assigned by supervisors.","University degree/ diploma in Finance, Accounting, Economics or in a related field; Administrative or finance related experience, preferably in an international environment (either international company in Armenia or experience of working abroad); Strong communication skills; Strong organizational skills and sense of responsibility; Ability to work under pressure; Basic knowledge of accounting and finance; Excellent written and verbal communication skills in Armenian and English languages; Excellent knowledge of computer programs: Accounting Software, MS Office, Outlook and the Internet.",,2018-09-18,2018-09-23,471,https://www.careercenter.am/ccdspann.php?id=32760,Admin & Clerical
20,Mira Trans LLC,Logistics Manager,,,,"Yerevan, Armenia",Mira Trans LLC is looking for a Logistics Manager. The incumbent will be responsible for making international cargo transportation by maintaining a communicative connection between customers.,Responsible for transportation logistics control; Organize worldwide shipment; Involve new customers; Proceed current tasks of superiors; Organize documents circulation.,"Bachelor's or master's degree in Marketing, Management, Economics, Finance or Linguistics; Knowledge of Armenian, Russian and English languages; knowledge of any other language will be encouraged; Computer literacy, knowledge of MS Office.",,2018-09-18,2018-10-17,267,https://www.careercenter.am/ccdspann.php?id=32776,Management
21,Yerani Travel LLC,Tour Manager,,,Long term,"Yerevan, Armenia","In general the incumbent will network with other agencies, websites and hotels, collaborate with service providers, communicate with guests, be responsible for the work of other employees, as well as create, sell and organize trips and packages.","Search and contact new partners in Armenia and in other countries for B2B sales; Network with current partners; Cooperate with service providers to ensure timely and high quality services with acceptable costs; Find ways to improve B2C sales; Arrange training in sales and communication for new and current employees; Plan and sell (online) day trips, private tours, transportation services and packages; Cooperate with clients to determine their needs and advise them appropriate destination, modes of transportation, travel dates and costs; Provide relevant information, brochures and publications (guides, local customs, maps, regulations, events, etc.) to travelers; Enter data into the Company's software and maintain client files; Work with a special online reservation system; Conduct and monitor the Company's business correspondence.","Degree in Hospitality, Travel and Tourism, Business Management or in a relevant field; Fluency in Armenian, English and Russian languages; Strong sales and marketing skills; Good leadership, managerial and organizational skills; Ability to interact, communicate and negotiate effectively; Work experience in tourism industry (preferably incoming tourism); experience in sales and marketing is desired; Personal travel experience will be considered an advantage; Open minded, communicative, easy going and friendly personality; Responsible, dynamic and action oriented personality; Attention to details.",Highly competitive,2018-09-18,2018-10-17,286,https://www.careercenter.am/ccdspann.php?id=32773,Other
22,Deutsche Gesellschaft fuer Internationale Zusammenarbeit GIZ GmbH,National Consultant for Development of Concept and Road Map on Biodiversity and Ecosystems Services Information System,Part time,October 2018   February 2019,"Short term, up to 20 working days","Yerevan, Armenia","The aim of consultancy is to develop concept scenarios (correspondent methodology) and road map on biodiversity, ecosystems and their services information system, based on identified criteria for the system in cooperation with international consultant. The National Consultant will work in close coordination with the Bioresources Management Agency (BMA) of the RA Ministry of Nature Protection.","National Consultant will assist the International Consultant on data collection, analyses, report development, workshop preparation, etc., based on instructions and coaching by the International Consultant to fulfill the following tasks: Review of BMA functions and assess the data and methods development needs for sustainable management of biodiversity, ecosystems and their services; Based on different ecosystem types develop the list of comprehensive necessary data (environmental, socioeconomic) required for effective management, considering also by marzes (regions) of Armenia. Develop 2 3 possible concept scenarios and road map for biodiversity, ecosystems and their services information system creation, based on the above mentioned information; considering: a) Already existing correspondent information systems, such as NFMIS; b) The existence and availability of correspondent data in Armenia; c) Correspondent national legislation, international obligations and elaborated studies, reports, etc. in the field of biodiversity, ecosystems and their services management in Armenia; d) Cost effectiveness. Present and discuss concept scenarios and road map for the biodiversity, ecosystems and their services information system with stakeholders, update them accordingly and come up with recommendations for Armenia based on received feedbacks.","University degree in the field of environment, biodiversity or nature resource management; Practical experience in above mentioned fields; Good knowledge of English and Armenian languages, both written and spoken.",Negotiable,2018-09-17,2018-09-30,533,https://www.careercenter.am/ccdspann.php?id=32768,Other
23,Shant TV,Graphic Designer,,,,"Yerevan, Armenia","Shant TV is looking for a creative, talented and conceptual minded Graphic Designer to join its Digital Advertisement Department. The Company is looking for someone, who can take direction from written or spoken ideas and convert them seamlessly into images, layouts and other designs.","Execute ideas from concept through production; Develop and create designs for social media and websites; Responsible for banner developing; Coordinate with marketing managers; Create visual aspects of marketing materials, websites and other media, including infographics; Consult with marketing, copywriting and sales teams to create cohesive designs that reflect the corporate cultures and goals of the Company's clients.","University degree in an appropriate field of studies; Experience in graphic designing; Knowledge of Adobe Photoshop, Adobe Illustrator and CorelDraw; Knowledge of 3D Max; Ability to work in a flexible team; Knowledge of Armenian and English languages; knowledge of Russian language is a plus; Strong communication skills; Highly creative person with a strong attention to detail; Understanding of the latest trends and their role within a commercial environment.",Based on experience and skills,2018-09-17,2018-10-16,250,https://www.careercenter.am/ccdspann.php?id=32764,Other
24,Shen NGO,Marketing Consultant,,01 November 2018,"2 years, with 3 months of probation period.","Yerevan, Armenia","Shen NGO is looking for an experienced Marketing Consultant to train the beneficiary agricultural cooperatives, farmers and SMEs in marketing skills and knowledge. He/ she will draft a long term marketing strategy for sustainable agribusiness activities. The job is based in Yerevan with frequent travel to project implementation marzes of Armenia.","Study operations of the targeted cooperatives to understand and analyze their marketing needs; Conduct market surveys, develop marketing strategies jointly with cooperatives according to their objectives; Prepare training program on ""Marketing of agricultural products"", conduct marketing and business development capacity trainings for the board members and presidents of the beneficiary cooperatives; Provide trainings on positioning, communications and other marketing issues using the most effective methods and tools (marketing of product innovations and services which are new for the local markets); Discuss marketing activities of the cooperatives and analyze the results; Negotiate with stakeholders of horticultural value chain, create market links between beneficiary marketing groups, wholesale buyers, processing companies, supermarket networks, exporters and other companies; Collect and analyze information on targeted crop market systems, analyze different value chains, make practical proposals for improving value chains; Facilitate sustainable and effective cooperation between financial institutions (banks, credit organizations) and farmers/ producers and processing companies/ exporters; Draft business plans for small agricultural enterprises and conduct capacity building trainings for farmers and SMEs; Write analytical reports with recommendations for the project management; Perform other job related duties as assigned.","BS/ MS in Marketing or a related field; At least 3 years of demonstrable work experience in marketing; Experience in marketing of agricultural products is a plus; Work experience in agribusiness and rural entrepreneurship is a plus; Strong interpersonal communication skills; Strong presentation and negotiation skills; Strong reasoning and analytical skills; Flexible thinker with strong time management skills; Fluency in Armenian language, working knowledge of English and Russian languages.",Competitive,2018-09-17,2018-10-16,391,https://www.careercenter.am/ccdspann.php?id=32763,Information Technology
25,Byblos Bank Armenia CJSC,Personal Banker,,,,"Yerevan, Armenia","The Personal Banker will be responsible for promoting, developing and managing the Bank's retail business on a daily basis.","Promote the Bank's products inside and outside the branch, develop and manage the Bank's retail business on a daily basis; Perform all non cash transactions and sustain relationship with clients based on the full understanding of their business and banking needs; Ensure proper customer service to the clients; Control end of day reports as required; Handle administrative tasks related to daily operations.","Bachelor's or master's degree in Economics, Finance or Management; At least 1 year of banking experience; Fluency in Armenian and English languages, including verbal and written communication skills; Good command of MS Office, particularly Word and Excel; Knowledge of AS Bank is a plus; Ability to work as part of a team; Analytical and problem solving skills; Positive and professional attitude; Ambition for career growth.","Competitive, plus benefits.",2018-09-17,2018-10-16,386,https://www.careercenter.am/ccdspann.php?id=32767,Finance & Consulting & Banking
26,MicroComp,PHP Developer,,,,"Yerevan, Armenia",US based MicroComp is looking for a result oriented person to fill the position of PHP Developer.,Develop websites and web based applications according to the guidance provided; Troubleshoot and repair issues on websites; Manage multiple projects and deliverables simultaneously; Communicate with external team members on a daily basis.,"Knowledge of and experience in developing, theming, customizing and upgrading WordPress websites; Knowledge of and experience in developing Laravel based applications; Knowledge of and experience in PHP interfacing with a relational database of MySQL; Knowledge of and experience with other MVC frameworks is desirable; Experience with web development technologies/ production tools such as JavaScript Libraries and jQuery; Experience with multiple breakpoint and responsive design techniques; Ability to quickly troubleshoot and repair issues on websites; Understanding of cross platform/ browser compatibility issues; Excellent communication and organizational skills; 1 year of work experience is desirable; Working knowledge of English language.","Competitive, based on experience and skills.",2018-09-17,2018-10-16,258,https://www.careercenter.am/ccdspann.php?id=32766,Information Technology
